# bubble_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
    1995 8.963e-05 1.070e-04 9.100e-05 1.181e-06
    2512 1.153e-04 1.485e-04 1.183e-04 3.028e-06
    3162 1.506e-04 1.600e-04 1.536e-04 1.262e-06
    3981 1.943e-04 2.385e-04 2.013e-04 4.777e-06
    5012 2.555e-04 3.163e-04 2.637e-04 7.518e-06
    6310 3.298e-04 3.928e-04 3.426e-04 1.025e-05
    7943 4.319e-04 5.136e-04 4.475e-04 1.626e-05
   10000 5.592e-04 6.356e-04 5.804e-04 1.773e-05
   12589 7.127e-04 7.897e-04 7.337e-04 2.083e-05
   15849 9.262e-04 1.013e-03 9.551e-04 2.436e-05
   19953 1.200e-03 1.318e-03 1.235e-03 2.827e-05
#------- --------- --------- --------- ---------


# quick_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 4.500e-07 5.140e-07 4.701e-07 1.369e-08
      13 4.770e-07 5.370e-07 4.998e-07 1.398e-08
      16 5.210e-07 5.850e-07 5.471e-07 1.439e-08
      20 5.920e-07 6.830e-07 6.317e-07 2.177e-08
      25 6.640e-07 7.810e-07 7.126e-07 2.619e-08
      32 7.790e-07 9.290e-07 8.471e-07 3.523e-08
      40 9.670e-07 1.122e-06 1.039e-06 3.567e-08
      50 1.113e-06 1.294e-06 1.198e-06 4.250e-08
      63 1.382e-06 1.619e-06 1.487e-06 5.473e-08
      79 1.763e-06 2.372e-06 1.894e-06 7.744e-08
     100 2.240e-06 2.588e-06 2.399e-06 7.606e-08
     126 2.954e-06 3.401e-06 3.127e-06 9.629e-08
     158 3.816e-06 6.153e-06 4.594e-06 7.754e-07
     200 4.920e-06 5.463e-06 5.158e-06 1.190e-07
     251 6.463e-06 7.505e-06 6.910e-06 2.610e-07
     316 8.972e-06 1.204e-05 9.530e-06 7.005e-07
     398 1.170e-05 1.251e-05 1.210e-05 1.923e-07
     501 1.528e-05 2.111e-05 1.617e-05 1.191e-06
     631 1.996e-05 2.692e-05 2.089e-05 1.211e-06
     794 2.558e-05 3.393e-05 2.669e-05 9.320e-07
    1000 3.325e-05 4.485e-05 3.435e-05 1.157e-06
    1259 4.339e-05 5.332e-05 4.479e-05 1.049e-06
    1585 5.664e-05 7.525e-05 5.937e-05 3.244e-06
    1995 7.203e-05 9.289e-05 7.465e-05 2.618e-06
    2512 9.380e-05 1.123e-04 9.624e-05 1.484e-06
    3162 1.231e-04 1.509e-04 1.269e-04 2.663e-06
    3981 1.549e-04 1.894e-04 1.616e-04 3.864e-06
    5012 2.013e-04 2.816e-04 2.147e-04 1.392e-05
    6310 2.615e-04 3.300e-04 2.727e-04 1.050e-05
    7943 3.379e-04 4.121e-04 3.556e-04 1.334e-05
   10000 4.388e-04 5.132e-04 4.564e-04 1.353e-05
   12589 5.697e-04 6.491e-04 5.941e-04 1.819e-05
   15849 7.182e-04 8.014e-04 7.429e-04 1.918e-05
   19953 9.268e-04 1.017e-03 9.551e-04 2.248e-05
   25119 1.201e-03 1.320e-03 1.237e-03 2.975e-05
#------- --------- --------- --------- ---------


# merge_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 4.400e-07 5.080e-07 4.632e-07 1.545e-08
      13 4.760e-07 5.400e-07 5.034e-07 1.612e-08
      16 4.960e-07 5.730e-07 5.248e-07 1.817e-08
      20 5.360e-07 6.100e-07 5.643e-07 1.808e-08
      25 5.880e-07 6.870e-07 6.232e-07 2.452e-08
      32 6.910e-07 7.950e-07 7.313e-07 2.410e-08
      40 8.780e-07 1.260e-06 9.804e-07 9.786e-08
      50 1.052e-06 1.599e-06 1.187e-06 1.328e-07
      63 1.237e-06 1.400e-06 1.306e-06 3.746e-08
      79 1.677e-06 1.865e-06 1.761e-06 4.509e-08
     100 2.080e-06 2.323e-06 2.184e-06 5.315e-08
     126 2.603e-06 3.244e-06 2.767e-06 1.033e-07
     158 3.468e-06 3.914e-06 3.627e-06 8.706e-08
     200 4.786e-06 7.120e-06 5.792e-06 6.558e-07
     251 5.828e-06 7.043e-06 6.293e-06 2.987e-07
