# bubble_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
    3981 3.287e-04 3.498e-04 3.330e-04 2.843e-06
    5012 4.299e-04 4.621e-04 4.359e-04 5.179e-06
    6310 5.578e-04 5.741e-04 5.639e-04 3.523e-06
    7943 7.247e-04 7.436e-04 7.324e-04 4.192e-06
   10000 9.419e-04 9.828e-04 9.522e-04 6.278e-06
   12589 1.231e-03 1.322e-03 1.246e-03 1.241e-05
#------- --------- --------- --------- ---------


# quick_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 7.640e-07 9.510e-07 7.974e-07 2.604e-08
      13 8.090e-07 1.041e-06 8.490e-07 4.012e-08
      16 8.570e-07 1.069e-06 8.961e-07 3.207e-08
      20 9.960e-07 1.212e-06 1.055e-06 3.422e-08
      25 1.106e-06 1.336e-06 1.183e-06 4.417e-08
      32 1.302e-06 1.625e-06 1.408e-06 6.110e-08
      40 1.556e-06 2.032e-06 1.688e-06 8.954e-08
      50 1.894e-06 2.312e-06 2.035e-06 8.298e-08
      63 2.368e-06 3.606e-06 2.756e-06 3.341e-07
      79 3.061e-06 4.427e-06 3.865e-06 3.838e-07
     100 4.884e-06 5.748e-06 5.273e-06 1.855e-07
     126 5.006e-06 7.139e-06 6.021e-06 7.309e-07
     158 6.424e-06 8.969e-06 7.166e-06 6.969e-07
     200 8.304e-06 9.777e-06 8.752e-06 2.418e-07
     251 1.085e-05 1.468e-05 1.176e-05 9.109e-07
     316 1.411e-05 1.665e-05 1.470e-05 3.505e-07
     398 1.844e-05 2.020e-05 1.912e-05 3.498e-07
     501 2.409e-05 2.584e-05 2.494e-05 3.990e-07
     631 3.149e-05 3.381e-05 3.260e-05 5.108e-07
     794 4.112e-05 4.625e-05 4.254e-05 7.771e-07
    1000 5.382e-05 5.835e-05 5.538e-05 7.834e-07
    1259 7.017e-05 8.436e-05 7.305e-05 2.702e-06
    1585 9.133e-05 9.715e-05 9.398e-05 1.217e-06
    1995 1.194e-04 1.265e-04 1.224e-04 1.469e-06
    2512 1.553e-04 2.009e-04 1.620e-04 9.462e-06
    3162 2.025e-04 2.153e-04 2.071e-04 2.566e-06
    3981 2.626e-04 3.356e-04 2.704e-04 8.448e-06
    5012 3.409e-04 3.561e-04 3.481e-04 3.475e-06
    6310 4.430e-04 4.814e-04 4.534e-04 6.328e-06
    7943 5.739e-04 6.443e-04 5.884e-04 1.093e-05
   10000 7.425e-04 7.913e-04 7.581e-04 8.389e-06
   12589 9.617e-04 1.014e-03 9.805e-04 9.642e-06
   15849 1.240e-03 1.293e-03 1.264e-03 1.154e-05
#------- --------- --------- --------- ---------


# merge_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 7.630e-07 9.930e-07 8.013e-07 4.245e-08
      13 8.050e-07 9.540e-07 8.362e-07 2.023e-08
      16 8.550e-07 9.590e-07 8.895e-07 1.956e-08
      20 9.250e-07 1.026e-06 9.610e-07 2.102e-08
      25 1.020e-06 1.192e-06 1.069e-06 2.980e-08
      32 1.165e-06 1.519e-06 1.240e-06 5.398e-08
      40 1.479e-06 1.689e-06 1.557e-06 4.225e-08
      50 1.742e-06 1.992e-06 1.835e-06 5.241e-08
      63 2.111e-06 2.420e-06 2.219e-06 6.313e-08
      79 2.718e-06 3.038e-06 2.851e-06 7.234e-08
     100 3.508e-06 3.848e-06 3.664e-06 8.050e-08
     126 4.405e-06 4.819e-06 4.598e-06 9.871e-08
     158 5.888e-06 7.655e-06 6.184e-06 2.568e-07
     200 7.730e-06 8.291e-06 7.996e-06 1.298e-07
     251 9.847e-06 1.418e-05 1.055e-05 1.045e-06
     316 1.325e-05 1.935e-05 1.455e-05 1.975e-06
